label,discription
normal,oK..i deleted my contact that why?
normal,Sindu got job in birla soft ..
normal,The wine is flowing and i have nevering..
normal,Yup i think cine is better cos no need to go down to plaza.
normal,Ok... your typical reply...
normal,As per your request 'Melle Melle' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
normal,You are everywhere dirty
normal,All right are you at work?
normal,I'm leaving my house now.
normal,Hello
fraud,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
fraud,You are a winner you have been specially selected to receive £1000 cash or a 4* holiday (flights inc) speak to a live operator to claim 0871277810810
normal,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
normal,New car and house for my parents.i have only new job in hand:)
normal,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
normal,I place all your points one cultures module already.
normal,Hi friend
normal,Great escape. I fancy the bridge but needs her lager. See you tomarrow.
normal,Yes :)it completely in out of form:)clark also utter waste.
fraud,Sir
normal,Hmmm.. Thanks sure got time to hope ard... Ya
normal,What time you coming down later? 
normal,Bloody hell
normal,Well
normal,Let me know when you've got the money so carlos can make the call
normal,you still going to the mall?
normal,Turns out my friends are staying for the whole show and won't be back til ~ &lt
normal,Text her. If she doesnt reply let me know so i can have her log in
normal,Hi! You just spoke to MANEESHA . We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
normal,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a great weekend
normal,you can trust me.
normal,ok. I am a gentleman and will treat you with dignity and respect.
normal,He will
normal,Going on nothing great.bye
normal,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
normal,Haha awesome
fraud,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed 1000 rupees cash or £5000 prize!
normal,Have you got Xmas radio times. If not i will get it now
normal,I just reached home. I go bathe first. But my sister using net tell you when she finishes k...
normal,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
normal,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.
normal,Hi :)finally i completed the course:)
normal,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
normal,How are you doing? Hope you've settled in for the new school year. Just wishing you a great day
normal,Good morning dear hav a nice day.
normal,Did you got that persons story.
normal,is your hamster dead? Hey so tommaro i meet you at 1pm orchard mrt? 
normal,Hi it's Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Text back if you can. :)
normal,Found it
normal,I sent you  &lt
normal,Hello darlin i have finished college now so text me when you finish if you can love Kate xxx.
normal,Your account has been refilled successfully by INR  &lt
normal,Goodmorning sleeping ram.
normal,you call me alter at 11 ok.
normal,you say untill like dat i done buy ericsson oso cannot oredi lar...
normal,As I entered my cabin my PA said
normal,Aight yo
normal,You please give us connection today itself before  &lt
normal,Both
normal,What's up bruv
normal,Home so we can always chat
normal,OK good:)study well.
normal,Yup... How you noe leh...
normal,Sounds great! Are you home now?
normal,Finally the match heading towards draw as your prediction.
normal,Tired. I haven't slept well the past few nights.
normal,Easy ah?sen got selected means its good..
normal,I have to take exam with march 3
normal,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
normal,Ok no prob. Take your time.
normal,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
normal,Sorry
normal,Life is more strict than teacher... Because Teacher teaches lesson &amp
normal,Dear good morning now only i am up.
normal,Get down in gandhipuram and walk to cross cut road. Right side &lt
normal,Dear we are going to our rubber place.
normal,Sorry battery died
normal,Yes:)here tv is always available in work place.
normal,I have printed it oh. So  &lt
normal,Or ill be a little closer like at the bus stop on the same street
normal,Where are you? when wil you reach here?
normal,New Theory: Argument wins d SITUATION
normal,Tomarrow final hearing on my laptop case so i can't.
normal,PLEASE TELL ME
normal,Okay. No no
normal,Although i told you that i'm into big face watches now but i really like e watch you gave because it's from you. Thanks for everything that you have done today
normal,you don't remember that old commercial?
normal,Too late. I said i have the website. I didn't i have or dont have the slippers.
normal,I asked you to call him now ok.
normal,Kallis wont bat in 2nd innings.
normal,It did not work again oh. Ok goodnight then. I will fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
fraud,Congratulations you are awarded 500 of CD vouchers or 125gift guaranteed & Free entry to 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
normal,Ranjith cal drpd Deeraj and deepak five min hold.
normal,When yor are lovable became angry wid you
normal,What you doing?how are you?
normal,Ups which is three days also
normal,I'm back
normal,Don't necessarily expect it to be done before you get back though because I'm just now heading out.
normal,Mmm so yummy babe ... Nice jolt to the suzy.
normal,Where are you lover? I need you.
fraud,We tried to contact you are your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder?
normal,I‘m parked next to a MINI!!!! When are you coming in today do you think?
normal,Yup
normal,Anyway i'm going shopping on my own now. because my sister not done yet. Do not disturb you liao.
normal,MY NO. IN LUTON 0125698789 RING ME IF YOUR AROUND!
fraud,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698.
normal,Why you Did not come with us.
normal,Same. Wana plan a trip sometime then.
normal,Not sure yet
fraud,your ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? 
normal,The evo. I just had to download flash. Jealous?
fraud,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
normal,Come to me
normal,Night has ended for another day
normal,Useful I guess
normal,No objection. My boyfriend not coming.
normal,Thanx...
normal,Tell rob to mack his girlfriend in the theater.
normal,Awesome
normal,Just sent it. So what type of food do you like?
normal,All done? All handed in? Celebrations in full swing yet?
normal,You got called a tool?
normal,Sorry
normal,Well done
normal,I wont get concentration dear you know you are my mind and everything :-)
normal,LOL ... Have you made plans for new years?
normal,ten min later ok.
normal,hanks lotsly!
normal,Thanks for this hope you had a good day today.
normal,ok what are detail you want to transfer?account number enough?
normal,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
normal,Si si. I think ill go make those oreo truffles.
normal,LOOK AT AMY URE A BEAUTIFUL
normal,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best.
normal,that call cost. Which i guess isnt bad. Miss ya
normal,Going through a very different feeling. wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
normal,Where did you go? My phone is gonna die you have to stay in here.
normal,Sorry
normal,Ok i am on the way to railway.
normal,They don't put that stuff on the roads to keep it from getting slippery over there?
normal,When are you going to ride your bike?
normal,Yup
normal,There are many company. Tell me the language.
fraud,ok mail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. 
normal,How long has it been since you screamed
normal,Ok I'm gonna head up to useful in like fifteen minutes.
normal,Love you aathi..love you lot..
normal,Tension ah?what machi?any problem?
normal,oK
normal,When're you guys getting back? G said you were thinking about not staying for mcr.normla
normal,Almost there
normal,Yo carlos
normal,Watching tv lor.
normal,Thank you baby! I can't wait to taste the real thing...
normal,You should change your fb.
normal,If we win its really no 1 side for long time.
fraud,FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions
normal,Dear reached railway. What happen to you.
normal,Depends on quality. If you want the type i sent boye
normal,I think i've fixed it can you send a test message?
normal,Sorry man my account's dry or I would
normal,Sorry
normal,What class of  &lt
normal,Are you free now?can i call now?
normal,Nope. Think i will go for it on monday. Sorry i replied so late.
normal,Some of them told accenture is not confirm. Is it true.
normal,Kate jackson rec center before seven wish
normal,Dear i have reached room.
normal,Fighting with the world is easy
normal,When can you come out?
normal,Check with nuerologist.
normal,Lol nice. I went from a fish to ..water.
normal,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
normal,What's the significance?
normal,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
normal,at the latest
normal,Prabha..i'm soryda..realy..from heart i'm sory.
normal,Lol ok your forgiven :)
normal,No..just change that only..
normal,So:)no competition for him.
normal,Shall i come to get pickle.
normal,Were gonna  get some tacos.
normal,That's very rude
fraud,URGENT!: Your Mobile Number was awarded a £2
normal,Hi i won't be heard for christmas. But do enjoy and merry x'mas.
fraud,Today's Offer! Claim your £150 worth of discount vouchers! Text YES to 85023 now! SavaMob
normal,Yes! How is a pretty lady like you single?
fraud,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel you Teletext Pg 750.
normal,What Today-sunday..sunday is holiday..so no work..
normal,Goodnight....take care...practice going on.
normal,I'll be late...
normal,I've not called you in a while. This is hoping it was later malaria and that you know that we miss you guys. I miss Bani big
normal,Good afternoon
normal,Probably gonna be here for a while
normal,Or maybe my fate fingers just press all these buttons and it doesn't know what to do.
normal,Ummmmmaah Many many happy returns of the day my dear sweet heart.. HAPPY BIRTHDAY dear
normal,I am in tirupur
normal,But i am going to college pa. What to do. are else ill come there it self. Pa.
normal,4 o'clock at mine. Just to bash out a flat plan.
normal,This girl does not stay in bed. This girl doesn't need recovery time. I would rather pass out while having fun then be cooped up in bed
normal,Then any special there?
normal,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
normal,Sorry that took so long
normal,Wait  &lt
normal,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
normal,Imagine you finally get to sink into that bath after I have put you through your paces
normal,Hurry up
normal,Sure
normal,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
normal,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
normal,O. Well you have causes mutations. Sunscreen is like essential thesedays
normal,Having lunch:)you are not in online?why?
normal,I know that my friend already told that.
normal,Hi Princess! Thank you for the pictures. You are very pretty. How are you?
normal,Aiyo... you always see our example one... I don't about me
normal,Hi message me:)i'm in office..
normal,Thanks for e brownie it's very nice...
normal,Geeeee ... I love you so much I can barely stand it.
normal,Fuck babe ... I miss you already
normal,I will call you tommarow at ninish
normal,Oooh bed ridden eye? What are YOU thinking of?
normal,So anyways
normal,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
normal,Would you WANNA DO THEN MISSY?
normal,Yar lor wait for my mum to finish such then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
normal,Do you know where my lab goggles went
normal,Can you open the door?
normal,Waiting for your call.
normal,Nope i waiting in such for daddy... 
fraud,You have won? 1
normal,I'm tired of arguing with you about this week after week. Do what you want and from now on
normal,you wait for me in such i finish ard..
fraud,our mobile number has won £5000
normal,Arraneged marriage is while you are walking unfortuntly a snake bites you. but love marriage is dancing in front of the snake &amp
normal,Huh so early.. Then you having dinner outside izzit?
normal,Ok anyway no need to change with what you said
fraud,We tried to contact you are your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
normal,my ex-wife was not able to have kids. Do you want kids one day?
normal,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
normal,Tell them you have a headache and just want to use 1 hour of sick time.
normal,I don't think i'll quit yet... Hmmm
normal,Pete can you please ring meive hardly gotany credit
normal,Ya srsly better than yi tho
normal,I'm in a meeting
fraud,For your chance to win a £250 wkly shopping spree TEXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022
fraud,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
normal,You still at grand prefix?
normal,I met you as a stranger and choose you as my friend. As long as the world stands
normal,I am great! How are you?
normal,Good morning dear have a nice day
fraud,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
normal,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
normal,I'm going out to buy mum's present ar.
normal,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
normal,If you sending her home first it's ok lor. I'm not ready yet.
fraud,Speaking of does he have any cash yet?
normal,Be happy there. I will come after noon
normal,Meet after lunch la...
normal,TaKe CaRE and gET WeLL sOOn 
normal,what I meant to say is can't wait to see you again getting bored of this bridgwater banter
normal,Never mind it's ok..
normal,It's fine
fraud,22 days to kick off! For Euro2004 you will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
normal,It's a valentine game. Send this message to all your friends. .. If 5 answers are the same then someone really loves you. Question- which colour suits me the best?reply me
normal,I have many dependents
normal,THANKS TODAY CERe IT WAS NICE to CATCH UP BUT WE AVE to FIND MORE TIME MORE OFTEN OH WELL TAKE CARE see you SOON.
normal,I called and said all to him:)then he have to choose this future.
normal,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
normal,That means get the door
normal,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
normal,Hmmm ... I thought we said 2 hours slave
normal,Beerage?
fraud,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
normal,Don't think so. It turns off like randomlly within 5min of opening
normal,She was supposed to be but couldn't make it
normal,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
normal,Good morning dear have a nice day
normal,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but please know that you are fondly being those off. Have a great week. Abiola
normal,All the best for you driving tomorrow.
normal,why? WHERE you AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!
normal,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
normal,There generally isn't one. It's an uncountable noun - you in the dictionary. pieces of research?
normal,it's really getting me down just hanging around.
normal,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic
normal,Ok i message you before i leave my house.
normal,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
normal,On the road so can't text
normal,SMSSERVICES. for your inclusive text credits
normal,Hmm .. Bits and pieces lol ... *sighs* ...
normal,Hahaha..use your brain dear.
normal,Hey. You got any mail?
normal,Sorry light turned green
normal,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
fraud,you have a secret admirer. REVEAL who thinks you are So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per message record. Customer care 07821230901
normal,Hi mate its RV did you hav a nice hol just a message 3 say hello becose haven't sent you one in ages started driving so stay off roads!
fraud,Dear Voucher Holder
normal,Thank you so much. When we skyped with koz and sura
normal,Good Morning my Dear........... Have a great &amp
fraud,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
normal,Sir
normal,I love you soo much you don't understand how special you are to me ring you tomorrow love you.
normal,Please send me a comprehensive mail about who i'm paying
normal,Our Prashanthettan's mother passed away last night. pray for her and family.
fraud,Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10
normal,ok
normal,Meanwhile in the shit suite: xavier decided to give us  &lt
normal,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
normal,I am in office:)whats the matter..msg me now.i will call you at break:).
normal,Yeah there's barely enough room for the two of us
normal,you reach orchard already? you want to go buy tickets first?
normal,I am real
normal,No da if you run that it activate the full version da.
normal,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPeaK to you LOTS OF LOVEJEN XXX.
normal,Stop the story. I've told him i've returned it and he's saying i should not re order it.
fraud,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
normal,Going to take your babe out ?
normal,Hai ana tomarrow am coming on morning.  &lt
normal,Spoons it is then okay?
normal,Did he just say somebody is named tampa
normal,In work now. Going have in few min.
normal,Your brother is a genius.
normal,Sorry
normal,Did you find out what time the bus is at coz i need to sort some stuff out.
normal,Dude i have been seeing a lotta corvettes lately
normal,Congratulations your awarded either a years supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins
normal,Same here
fraud,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
fraud,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap.
fraud,What do you want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
normal,Well am officially in a philosophical hole
normal,Its going good...no problem..but still need little experience to understand american customer voice...
normal,I'll text you when I drop off
normal,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
normal,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt
fraud,Shop till you Drop
normal,Are you in castor? You need to see something
fraud,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
fraud,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
normal,see
normal,I love to give massages. I use lots of baby oil... What is your fave position?
normal,Dude we should go sup again
normal,Yoyyooo you know how to change permissions for a drive in mac. My usb flash drive
normal,Gibbs unsold.mike hussey
normal,I like to talk pa but am not able to. I dont know y.
normal,Y dun cut too short leh. you done like ah? She failed. She's quite sad.
normal,You unbelievable faglord
normal,Wife.how she knew the time of murder exactly
normal,Why do you ask princess?
normal,I am great princess! What are you thinking about me? :)
normal,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
normal,It's ok i know you are busy but i'm really too bored so i messsge you. I  do you know what colour she choose for me one.
normal,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt
normal,"Superb Thought- ""Be grateful that you dont have everything you want. That means you still have an opportunity to be happier tomorrow than you are today."":-)"
normal,Hope you are having a good week. Just checking in
normal,I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston
normal,Thursday night? Yeah
fraud,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney."
normal,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
normal,How is it possible to teach you. And where.
normal,I wonder if your phone battery went dead ? I had to tell you
normal,Lovely smell on this bus and it ain't tobacco... 
normal,We're all getting worried over here
normal,Hey what's up charles sorry about the late reply.
normal,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
normal,WHITE FUDGE OREOS ARE IN STORES
normal,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
normal,I am sorry it hurt you.
normal,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
normal,Ok lor but not too early. Me still having project meeting now.
normal,Call me
normal,I could ask carlos if we could get more if anybody else can chip in
normal,Was actually about to send you a reminder today. Have a wonderful weekend
normal,When people see my messages
normal,Hey you gave them your photo when you registered for driving ah? Tomorraw wanna meet at yck? 
normal,Dont talk to him ever ok its my word.
normal,When you wana see it then
normal,On ma way to school. Can you please send me ashley's number
normal,It shall be fine. I have available now. Will hollalater
normal,She went to attend another two rounds today..but still did't reach home..
normal,Actually i deleted my old website..now i am blogging at magicalsongs.blogspot.com
normal,oK
normal,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
normal,K:)i will give my kvb acc details:)
normal,Oh all have to come ah?
normal,I'm really sorry i won't b able to do this friday.hope you can find an alternative.hope your term's going ok.
normal,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
normal,So do you have samus shoulders yet
normal,What time you think you'll have it? Need to know when I should be near campus
fraud,Dear Matthew please call 09063440451 from a landline
normal,Then dun wear jeans lor...
normal,Since when
normal,ok.are you in college?
normal,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
normal,No we sell it all so we'll have tons if coins. Then sell our coins to someone through paypal. Voila! Money back in life pockets:)
normal,They are doing it to lots of places. Only hospitals and medical places are safe.
fraud,How about getting in touch with folks waiting for company? Just text back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
normal,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
